SAMPLE_ANALYSIS_NO,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,P2O5,Class,Probability,Lithology,ROCK_GROUP,LITHOLOGY_NAME,GSSA_code
135827,74.23744023711549,0.5828559357459481,12.475162133509762,3.2663657516373847,0.8896222177174996,1.7281167217730744,3.6300676699966927,3.0369861915183614,0.15338314098577574,sedimentary,0.5810727371585902,Litharnite,Metamorphic General,Gneiss,SDST
135828,77.90503506192826,0.4582649121289897,11.100194538235533,2.501594028378935,0.8757951654020691,0.8248768418321814,3.401344014468501,2.7801404669158702,0.15275497070966318,sedimentary,0.7535636875672923,Arkose,Metasediment Siliciclastic,Metasandstone,ARKS
135829,74.6303819014541,0.5518800289863293,12.45527404868229,3.1070815164093117,0.8202253641815167,1.5999457721071562,3.3720376083017918,3.2302702614062206,0.23290349847129485,igneous,0.7393935076394509,"Rhyolite, Granite",Metamorphic General,Gneiss,GRNT
135837,73.12356992801986,0.5589389286223118,12.306912189849065,3.9496782383071487,1.2614584994595293,1.9793617105340573,1.8255253081609448,4.789439993882929,0.2051152031641511,igneous,0.7209378655990648,"Rhyolite, Granite",Metamorphic General,Gneiss,GRNT
135838,51.82175242318661,1.2619269053151227,20.997636211390976,11.91336454374108,6.39238383184218,2.679008758005056,1.7273917474395533,3.0927552843378834,0.11378029474152745,sedimentary,0.5027981632727645,Iron-rich Shale,Metasediment,Paragneiss,IRFM
135841,64.80520806432969,0.794876380164044,16.606334566484485,7.1614765409676995,2.3694404198520553,1.2049718374461305,1.4986204364876243,5.316052224027046,0.2430195302412364,sedimentary,0.7554543522829421,Shale,Metamorphic General,Gneiss,SHLE
135843,51.7542836207785,2.2681160152532405,13.917984639053971,15.49205919531448,5.76307660239346,7.701284833609866,2.5774045627877733,0.2577404562787773,0.2680500745299284,igneous,0.9950348219899844,"Basalt, Gabbro",Metamorphic General,Gneiss,GBRO
135854,48.91039779914285,1.4166436571844754,21.094547888002406,12.374902547582149,6.193938325937961,2.6471589506512827,3.050437072039564,4.187888183647537,0.12408557581177886,igneous,0.5635828042760214,"Tephrite, Foid Gabbro",Metasediment,Paragneiss,FDGB
135856,46.498781613378526,2.1900095804515334,15.153620793645672,16.5305353270558,6.570028741354598,9.943266246789422,2.148492811153873,0.6746475010869649,0.2906173850836157,igneous,0.9952499813162016,"Basalt, Gabbro",Metasediment,Paragneiss,GBRO
135857,66.12626753766531,0.7279015496394164,15.37820175294542,6.439020535080067,3.670264151702975,2.1119397074045048,2.921858333059632,2.4707644149732317,0.15378201752945422,sedimentary,0.7403419381549585,Shale,Metasediment,Paragneiss,SHLE
